Date,Post Type,full_text,Video Thumbnail,Image,Like,Retweet,Reply
2022-11-21T00:19:16.000Z,image,"नुवाकोटको हर्कपुरको सुर्योदयसँगै शुभ प्रभात!

फोटो : सुरेश भण्डारी",,https://pbs.twimg.com/media/FiDAK0MUYAAMEtw?format=jpg&name=medium,688,40,122
2022-11-18T12:52:17.000Z,text,"अन्तर्राष्ट्रिय एकदिवसीय क्रिकेटमा नेपालले युएईलाई छ विकेटले पराजित गरी यो सिरिज २-१ ले  जितेको छ । नेपाली क्रिकेट टिमलाई धेरैधेरै बधाई ! हामी सबैलाई बधाई !!
फोटो स्रोत: नेपालप्रेस",,,536,25,24
2022-11-18T11:24:20.000Z,text,"आज मेरा बुबाको जन्मदिन, 
बुबासँग म।",,,2K,107,267
2022-11-17T18:00:16.000Z,text,"२ मत थप्ने, ५ मत सुरक्षा गर्ने। प्रचारको समय सकियो। अब मत सुरक्षामा केन्द्रित हुनुहोस्। चार वटै मत पत्रको सूर्य चिन्हमा पालैपालो स्वस्तिक छाप लगाउनुहोस्।",,,434,61,64
2022-11-17T08:37:06.000Z,text,"सबै सदर - शून्य बदर, 
हडबड नगरी मतदान गरौं ।
सूर्यमा मतदान !",,,536,65,82
2022-09-16T18:48:56.000Z,text,महिला साफ च्याम्पियनसिप फुटबलको सेमिफाइनलमा साविक विजेता भारतलाई परास्त गर्दै विजय हासिल गर्न सफल नेपाली महिला फुटबल टिमलाई हार्दिक बधाई ! फाइनल खेलमा भव्य विजयको शुभकामना !,,,1.1K,45,51
2022-09-13T14:45:24.000Z,image,आउनुहोस् संविधान दिवसको उत्सवलाई यस पटक सँगसँगै मनाऔं।,,https://pbs.twimg.com/media/Fciws-jaMAMHNvM?format=jpg&name=medium,855,110,96
2022-09-04T08:05:16.000Z,text,नेकपा (एमाले)का उपाध्यक्ष कमरेड रामबहादुर थापाकी ममतामयी आमा नन्दकुमारी थापामगरको निधनको खबरले मलाई दुखित तुल्याएको छ। दिवंगत आमाप्रति भावपूर्ण श्रद्धाञ्जलि अर्पण गर्दै कमरेड रामबहादुर थापा लगायत शोक सन्तप्त सम्पूर्ण परिवार र आफन्तजनहरुमा गहिरो समबेदना व्यक्त गर्दछु ।,,,1K,68,149
2022-08-21T02:33:06.000Z,text,"चिन्तनशील राजनीतिकर्मी, मित्र प्रदीप गिरिको निधनबाट मर्माहत भएको छु । उहाँप्रति हार्दिक श्रद्धासुमन अर्पण गर्दै शोकाकुल परिवारजनमा गहिरो समवेदना व्यक्त गर्दछु ।",,,1.7K,80,101
2022-07-08T10:56:07.000Z,text,My thoughts and heartfelt condolences go to his bereaved family in this sorrowful time.,,,339,19,4
2022-06-22T14:37:25.000Z,text,नेपाल मजदुर किसान पार्टीका अध्यक्ष एवम् मेरा मित्र नारायणमान बिजुक्छेलाई पत्नीशोक परेको खबरले दुःखित छु । उहाँकी दिवंगत धर्मपत्नी शोभा प्रधानप्रति भावपूर्ण श्रद्धाञ्जली अर्पण गर्दछु। शोकमा पर्नु भएका नारायणमान जी र शोकाकुल परिवारजनमा गहिरो समवेदना प्रकट गर्दछु।,,,1.2K,83,153
