Date,Post Type,full_text,Video Thumbnail,Image,Like,Retweet,Reply
2024-02-27T01:57:44.000Z,text,सुमेरु पर्वत घुमेर पसीना बगाउने कुमार र शिव- पार्वतीकै वरीपरी फन्को लगाएर कानमा चीनी भर्न सक्ने गणेश प्रवृति मध्ये भगवान शिव-पर्वतीले त गणेश प्रवृतिलाई पुरष्कृत गरे भने नेताहरुले काम काट्नेलाई हैन कुरा जोत्ने र वरीपरी घुम्नेलाई काखी च्यापे भनेर  दुखी हुनु नै मुर्खता हो।यो भैरन्छ।,,,309,34,41
2024-02-26T14:11:29.000Z,text,त्यो पर्दैन के अब!,,,,,1
2024-02-26T12:38:40.000Z,text,कस्तो खतरा कुरा ?कस्तो खतरा कुरा गरेको?,,,,,1
2024-02-26T08:42:00.000Z,image,"यो संसद भवन हो,मिटर ब्याज र लघु वित्त पिडीत जनताको क्याराभानको आवाज आज यही घन्कियो ।न्याय र सुशासनको गठें गफ जनताद्वारा छताछुल्ल ।जनता वास्तवमै अजेय छन!मीठा गफले भोका पेटको आवाज छेक्न सकिदैन।",,https://pbs.twimg.com/media/GHQBq7ObMAACnlq?format=jpg&name=medium,221,34,13
2024-02-26T04:49:16.000Z,text,एमाले लिलामीमा छैन।,,,,,1
2024-02-26T04:48:33.000Z,text,था रे छ त मलाई किन ठोस्यौ?,,,,1,
2024-02-26T04:47:26.000Z,text,मेरो हकमा फरकै पर्दैन ल।,,,,,1
2024-02-26T04:46:08.000Z,text,जस्ले पाल्या छ उसैले हाल्छ दानापानी अरु किन हाल्ने?,,,,,1
2024-02-26T04:44:08.000Z,text,त्यो हुदैन मिल्दैन,,,,,
2024-02-26T04:42:18.000Z,text,अध्यक्षले  त्यै भन्नु भा हो अस्ति बैछकमा।अब नहोला।,,,2,1,2
2024-02-26T04:39:54.000Z,text,त्यो नमिल्ने कुरो हो।,,,1,,3
2024-02-26T04:36:49.000Z,text,म कम्फरटेवल हु भनेर चितुवा कराएकै हो अहिले बखरी हरायो के भन्ने त हैन भनन्न सक्नु नि ।,,,5,,1
2024-02-26T02:58:02.000Z,text,उसैलाई बहुमत दिनुस के भनौ त अरु।,,,,,1
2024-02-26T02:23:18.000Z,text,नेपाल बाहेक र सही विदेश सम्बन्ध बाहेक अरु सोच्दैनौ।,,,1,,1
2024-02-26T02:22:02.000Z,text,त्यो गरिन्न अब,,,3,,1
2024-02-26T01:40:54.000Z,text,सुप्रिमोले खण्डन र अस्विकार गर्न परो नि मेहताको भनाई थोडा मैले लाईदिया आरोप हो र ?,,,7,,2
2024-02-26T01:26:14.000Z,text,अझै पनि सुप्रिमोलाई  केहीले नेपालकै रातो घोडा ठान्थे।तर भारतीय पुर्व जनरलले उनी कस्को घोडा हो ?आंखा खुल्ने गरी बताई दिएछन।कथित जनयुद्दकै बेला कम्पोसा बनाउदा नै प्रष्ट थियो -उनी उहिल्यै त्यही घोडा थिए।अब त एउटा जगेडामा रहेर तबेलामा उॅंग्ने र अर्कोले चार वर्ष अरुकै सेवा गर्ने भएछ।,,,353,64,46
2024-02-25T12:13:03.000Z,text,हो हो,,,3,1,
2024-02-23T11:21:54.000Z,text,नेकपा एमालेका श्रदेय अध्यक्ष एवं सम्माननीय पूर्व प्रधानमन्त्री कमरेड केपी शर्मा ओलीलाई शुभजन्मदिनको सीमाहीन शुभकामना!,,,147,13,10
2024-02-14T02:45:53.000Z,text,"सुप्रिमोसंग एउटा गज्जव कला छ।त्यो के भने रुदारुदै हास्न सक्ने र हास्दा हास्दै रुन सक्ने साथै आफुमाथि संकट आउदा सबैलाई एकसाथ धम्काउन र फकाउन सक्ने।शायद, त्यसको फेरि सफल प्रयोग हुने जस्तो छ-राष्ट्रियसभाको अध्यक्ष र संक्रमणकालीन न्याय निरुपणको लागि।तर सिटौलालाई पन्छाउन गाह्रो छ।",,,234,33,30
