"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-08-15T15:37:01.000Z","image","आज श्रावण ३० गते मंगलबार   #राष्ट्रिय #सभागृह #काठमाडौंमा जनमत पार्टीको शुभेच्छुक संगठन नेपाल राष्ट्रिय  नाइ संघद्वारा आयोजित वृहत् भेला तथा पार्टी प्रवेश कार्यक्रमका झलकहरू। 📷📷📷","","https://pbs.twimg.com/media/F3lSrNNbAAAMHmY?format=jpg&name=small,https://pbs.twimg.com/media/F3lSrNBakAALgBz?format=jpg&name=small,https://pbs.twimg.com/media/F3lSrNMbMAA-f2_?format=jpg&name=small,https://pbs.twimg.com/media/F3lSrNDaIAEXaVL?format=jpg&name=small","91","7","6"
"2023-05-13T09:44:32.000Z","image","भ्रष्टाचार विरुद्ध जनमत पार्टीको खबरदारी","","https://pbs.twimg.com/media/Fv_8lUIWwAIUyGM?format=jpg&name=medium","178","9","6"
"2023-05-05T03:57:56.000Z","image","बुद्ध जयन्तीलाई सरकारले 'ध्यान दिवस' घोषणा गरोस् - पछि संयुक्त राष्ट्रसंघबाट '#विश्व_ध्यान_दिवस' पारित गर्न लगाएर अनेकौं ऋषिमुनिको ध्यान र तपस्याको ऊर्जाले परिपूर्ण नेपालको पावनभूमिलाई '#ध्यान_पर्यटन' को केन्द्र बनाउन सकिओस् - डाँडाडाँडामा भ्यूटावरभन्दा ध्यान केन्द्र खुलोस्","","https://pbs.twimg.com/media/FvVfbdMaIAAYG61?format=jpg&name=medium","1.3K","78","60"
"2023-04-26T15:11:56.000Z","video","प्रहरीको मिलेमतोमा जनमतका समर्थकलाई घरबाहिर निस्कन नदिई, मान्छे काट्ने धमकी दिएर,  बूथ कब्जा गरीगरी, 
 छातामा मोहर लगाइएका मतपत्रहरू छ्याप्छ्याप्ती बाहिर भेट्टाएर, फर्जी मतदान गर्दै तथा अनुगमनका लागि म स्वयं नि.आ.को लिखित अनुमतिले जान खोज्दा 'पक्राऊ' गर्ने गरी कस्तो निर्वाचन हो?","","","856","128","94"
"2023-04-26T00:08:21.000Z","image","जसपाका अध्यक्ष श्री उपेन्द्र यादवज्यूलाई बारा प्रतिनिधि सभा निर्वाचन क्षेत्र नं. २ को उपनिर्वाचनमा विजयी हुनु भएकोमा उहाँलगायत जसपाका सम्पूर्ण नेता, कार्यकर्ता र शुभचिन्तकहरूलाई हार्दिक बधाई 🎉

जनमत पार्टीलाई मतदान गर्नुहुने र अगाध माया दिनु  हुने सम्पूर्णमा कोटिकोटि प्रणाम 🙏","","https://pbs.twimg.com/media/FumTy-EaYAEPNWF?format=jpg&name=240x240","559","27","112"
"2023-04-24T08:06:41.000Z","image","पारदर्शिताबाट डर किन ? मतगणना स्थलको #लाइभ गरिनु पर्ने हाम्रो मागको विपरीत #मोबाइल फोन समेत #निषेध गरी मतगणना गर्नुको रहस्य के? प्रहरी, प्रशासन र निर्वाचन अधिकृतको मिलेमतो हिजो पनि बूथहरूमा देखिएकै हो, मतपत्र बाहिर छयाप्छ्याप्ती भेटिएकै थिए, मतपेटिकाको सील पनि तोडिएको छ।","","https://pbs.twimg.com/media/Fudve-qaIAEqO0p?format=jpg&name=medium,https://pbs.twimg.com/media/Fudve-fagAExUSE?format=jpg&name=medium","284","53","9"
"2023-04-24T05:48:22.000Z","video","बारा-२ को मतगणना स्थलको लाइभ हुनुपर्छ।‌ सप्तरी -२ मा हामीले भोगिसकेका छौं, हार्न लागे पछि जसपाले भित्र नै उत्पात र दंगा मचाएर निर्वाचन बदर गराउने कसरी कोशिस गरेका थिए, प्रहरी प्रमुखको मिलेमतो थियो नै। बारा-२ मा सुवर्ण गा.पा. का ४ बटा बाकसको सिल टुटेको भेटिएको छ ","","https://pbs.twimg.com/ext_tw_video_thumb/1650376073501380609/pu/img/N0QOEFMpUgF0XnNz.jpg","377","75","20"
"2023-04-23T11:56:10.000Z","text","","","","47","4","2"
"2023-04-23T07:03:19.000Z","image","","","https://pbs.twimg.com/media/FuYXwhFX0AELdl9?format=jpg&name=large","131","12","11"
"2023-03-15T16:32:17.000Z","image","मलमा अनुदान कटौती गर्ने नेपाल सरकारको निर्णय बारे जनमत पार्टीको धारणा।","","https://pbs.twimg.com/media/FrRjnXdaMAASzK0?format=jpg&name=medium","111","14","8"
